"","Order","Minority Name","Self title","Other names","International names","Local group","Distribution","Population","Male","Female","Language","Language group","Language branch","Language family","Region","General information about traditional costumes","Note"
"44",44,"Mnong","Bunong","Not avaible","Mnong or Munong","Gar, Nong, Chil, Kuenh, Rlam, Preh, Prang, Dip, Bhiet, Sito, Bu Dang, Bu Nor, Bu Deh","Dak Nong, Dak Lak, Lam Dong, Quang Nam, Quang Binh",127334,62012,65322,"Mnong","Ba Na","Mon - Khmer","Autro-Asiatic","Highlands","The Mnong have lived for a long time in the Central Highlands. Rice is their primary food crop. In addition, their bamboo and rattan weaving, cotton and fabric weaving is developed.
Traditionally, Mnong men and women are topless. Men wear loincloths. Women wrap in skirts. There are three types of loincloths for the Mnong: white loincloths for the poor, black loincloths for the middle, and floral loincloths (black cloth with silver or bronze flowers and colourful beads) for the rich.","Population as of 2019"
"45",45,"Ro Mam","Ro Mam","Not avaible","Rmam","Not avaible","Mo Rai Commune, Sa Thay District, Kon Tum Province",639,319,320,"Rmam","Ba Na","Mon - Khmer","Autro-Asiatic","Highlands","The Ro Mam people mainly grow sticky rice on upland fields. They used to weave in the past.
Ro Mam men are topless and wear loincloths- usually white. They often tattoo their backs, especially the elderly. Women often bun their long hair at the nape. They wear straight-shoulder short sleeve shirts. The shirt is usually light coloured, with red lines on the neck and sleeves. Their skirts are in the white of cotton, four edges decorated with red patterns","Population as of 2019"
"46",46,"Xo Dang","Xo Dang, Xe Dang","Hdang, Kmrang, Con Lan, Brila","Xodang, Xe  dang or Sedang","Xo Teng, To Dra, Mnam, Ca Dong, Ha Lang, Ta Tri, Chau","Kon Tum, Quang Ngai, Quang Nam",212277,101893,110384,"Xodang","Ba Na","Mon - Khmer","Autro-Asiatic","Highlands","
The Xo Dang people cultivate mainly on upland fields. The Mnam branch knows how to grow wet rice, the Ca Dong branch grows cinnamon, and the To Dra branch have developed blacksmithing. All five branches of Xo Dang have developed brocade weaving.
The Xo Dang people's costumes are mainly black and indigo. Traditionally, on weekdays, Xo Dang men wear a loincloth and topless. On New Year's Eve, men wrap a piece of fabric around their bodies like a warrior. Xo Dang women wear sleeveless pullovers, wrap skirts and add a shawl.","Population as of 2019"
"47",47,"Ba Na","Ba Na","Bo Nam, Roh, Kon Dre, Ala Kong, Kpang Kong","Ba Na","Ro Ngao, Ro Long (or Y Lang), To Lo, Go Lar Krem","Gia Lai, Kon Tum, Binh Dinh, Phu Yen, Khanh Hoa",286910,141734,145176,"Bana","Ba Na","Mon - Khmer","Autro-Asiatic","Highlands","The Ba Na people are one of the most populous ethnic groups. Consequently, they greatly influence cultural and social factors in the Central region of Vietnam.
Ba Na men are usually topless and wear black loincloths with red stripes. On festive events or when it's cold,  they wear short sleeve pullovers. Women wear black skirts and square neck pullovers, with or without sleeves. The costumes of village elders and shamans are similar to other members, but with more patterns and red colours.","Population as of 2019"
"48",48,"Gie Trieng","Gie Trieng","Ca Tang, Giang Ray","Gie Trieng","Gie (Gie), Trieng (T'rieng), Ve, Bnoong (Mnoong)","Kon Tum, Quang Nam",63322,31218,32104,"Jeh, Tariang","Ba Na","Mon - Khmer","Autro-Asiatic","Highlands","Gie Trieng people have a knack for weaving, developing textiles. In some areas, they have a tradition of panning placer gold and making pottery. Gie Trieng women wear long dresses to the armpit with an indigo background and red stripes at the top and bottom. This type of skirt is quite rare among ethnic minorities. Men wear loincloths and topless, only wear more shirts when it is cold. The Gie Trieng people wear large indigo-coloured robes covering their bodies at festive events.","Population as of 2019"
"49",49,"Hre","Hre","Cham Re, Chom, Thuong Ba To, Cham Quang Ngai, Re, Man Thach Bich","H're","Not avaible","Quang Ngai, Binh Dinh, Kon Tum",149460,73983,75477,"H're","Ba Na","Mon - Khmer","Autro-Asiatic","Highlands","The Hre appeared a long time ago in the Truong Son area - Central Highlands. Most people live by growing wet rice. Their craft is only knitting and weaving; however, those crafts have been disappeared.
There are three primary colours in Hre costumes: black, red and white, in which black is the main background. The Hre people believe black is a discreet and gentle colour. Women wear two-tiered tube skirts. Men wear loincloths, topless and headscarves, add shirts at festive events.","Population as of 2019"
"50",50,"Cho Ro","Cho Ro","Chau Ro, Do Ro, Chro, Thuong","Cho Ro","Not avaible","Dong Nai, Ba Ria - Vung Tau",29520,14819,14701,"Cho Ro","Ba Na","Mon - Khmer","Autro-Asiatic","South East","The Cho Ro people have long lived in the low mountains in  South Indochina.
Cho Ro people's costumes include skirts for women and loincloths for men. In the past, both men and women were topless and wore pullovers with ties when cold. However, from the 50s of the 20th century, the traditional costumes of the Cho Ro people began to disappear. The original traditional costumes of the Cho Ro people are nowadays mostly old and belong to the elderly.","Population as of 2019"
"51",51,"X'Tieng","X'Tieng","Xa Dieng or Xa Chieng","Stieng","Bu Lo, Bu Dek (Bu Deh), Bu Biek","Binh Phuoc, Tay Ninh, Dong Nai",100752,50578,50174,"Stieng","Ba Na","Mon - Khmer","Autro-Asiatic","South East","The X'Tieng people mainly live by growing rice in the upland or wet fields. They often store things with dried gourd shells crafted into different shapes.
X'Tieng men often wear loincloths and topless. Patterns on loincloths are usually geek-shaped, decorated with coloured threads, lead beads, tree nuts and brass rattles. Women wear brocade tops and wrap skirts. Skirts come in two types: a long skirt that wraps above the chest, the bottom edge covers the ankle; and a short skirt that wraps around the waist, worn with a shirt. X'Tieng women's skirts are decorated with as many beads and rattles as men's.","Population as of 2019"
"52",52,"Kho Me","Khmer","Cur, Cul, Cu Tho, Viet goc Mien, Kho Me K'rom","Khmer Krom","Not avaible","Tra Vinh, Soc Trang, Kien Giang, An Giang, Can Tho, Vinh Long",1319652,650588,669064,"Khmer ","","Mon - Khmer","Autro-Asiatic","Mekong Delta","Khmer culture used to play a key role in the Mekong Delta before the 12th century. They were agricultural inhabitants with mature technology. The Khmer also have a profession of fishing, weaving, making mat, palm sugar and pottery.
In the past, Khmer men and women often wore silk sarongs on weekdays. The ceremonial costumes of Khmer women often include a blouse, a Sampot Chpn Kpal skirt, and a Spay scarf wrapped across the body. A unique feature of Khmer costumes is colourful patterns and sparkling sequins. Men wear a short, stiff collared shirt with buttons in the middle.","Population as of 2019"
"53",53,"Hoa","Hoa","Khach, Han, Tau","Hoa","Quang Dong, Quang Tay, Hai Nam, Trieu Chau, Phuc Kien, Sang Phang, Xia Phong, Thoong Nhan, Minh Huong, He","The whole territory of Vietnam,  concentrated in Ho Chi Minh, Dong Nai, Soc Trang",749466,389722,359744,"Chinese","Multiple dialects","","Sino-Tibetan","Mekong Delta","The Chinese migrated to Vietnam in many stages, starting from the 16th century to the 20th century. The Chinese live on wet rice in the countryside while people in the cities depend on services and trading. They developed pottery, paper, incense making, etc.
The traditional costume of Chinese women is a high-cut collar shirt with buttons and side slits or a cheongsam that hugs the hips and splits the side. Men wear short shirts with shaggy names, cloth buttons in the middle.","Population as of 2019"
"54",54,"Cham","Urang Campa","Cham, Chiem, Chiem Thanh, Cham Pa, Hoi...","Cham","Cham Hroi, Cham Poong, Cha Va Ku, Cham Chau Doc","Ninh Thuan, Binh Thuan, Tay Ninh, An Giang, Dong Nai, Ho Chi Minh",178948,87863,91085,"Cham","","Malay-Polynesia","Austronesian","Mekong Delta","The Cham are indigenous inhabitants of the South Central Coast region. If divided by religion, there are four main Cham groups in Vietnam, including Cham Brahmins follow Brahminism;  Cham Ba Ni follow Muslim, Cham Islam is new Muslim Cham and Cham Hroi with no religion
Cham men and women all wear skirts. Men wear button-down blouses; women wear pullovers.","Population as of 2019"
